Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,id,prof_guar,date2,year,month,day,p_cattle_H450,p_cattle_H700,p_cattle_S500,p_cattle_H750,beef_spr_tot,beef_spr_wr,beef_whol,ret_fb,ret_food_ss,gas_st
1/3/2000,23.56777511,23.64153966,22.97765867,23.38336372,4520600,0,0,8435,0,2000-01-03,2000,01,03,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/4/2000,23.19895651,23.34648564,22.64572225,22.90389824,4216500,0,0,8436,0,2000-01-04,2000,01,04,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/5/2000,22.90389188,23.82594872,22.90389188,23.27271461,5231600,0,0,8437,0,2000-01-05,2000,01,05,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/6/2000,23.08831553,23.23584471,22.83013948,22.94078636,4809400,0,0,8438,0,2000-01-06,2000,01,06,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/7/2000,23.01455449,23.60467127,22.9407899,23.53090668,5124700,0,0,8439,0,2000-01-07,2000,01,07,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/10/2000,23.60466206,24.19477861,23.45713292,23.64154434,4113900,0,0,8440,0,2000-01-10,2000,01,10,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/11/2000,23.67842646,24.48983672,23.67842646,24.19477844,5440200,0,0,8441,0,2000-01-11,2000,01,11,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/12/2000,24.15790293,25.41190094,23.97349146,25.22748947,8090000,0,0,8442,0,2000-01-12,2000,01,12,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/13/2000,25.19059873,25.74383296,24.71112906,24.96930504,5700200,0,0,8443,0,2000-01-13,2000,01,13,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/14/2000,25.26436817,25.26436817,24.71113383,25.14450073,3365400,0,0,8444,0,2000-01-14,2000,01,14,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/18/2000,25.0061877,25.07995226,24.30542433,24.48983574,3401100,0,0,8445,0,2000-01-18,2000,01,18,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/19/2000,24.19478461,25.15372424,24.19478461,25.00619507,3344700,0,0,8446,0,2000-01-19,2000,01,19,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/20/2000,25.11683464,25.11683464,24.19477757,25.11683464,3309700,0,0,8447,0,2000-01-20,2000,01,20,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/21/2000,24.56360527,24.71113443,23.86284176,24.23166466,3722600,0,0,8448,0,2000-01-21,2000,01,21,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/24/2000,24.34231064,24.45295751,23.30960655,23.30960655,3593500,0,0,8449,0,2000-01-24,2000,01,24,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/25/2000,23.45713436,23.75219265,23.12519378,23.49401665,3304500,0,0,8450,0,2000-01-25,2000,01,25,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/26/2000,23.38337005,23.38337005,20.46966936,21.09666824,16703200,0,0,8451,0,2000-01-26,2000,01,26,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/27/2000,21.244197,22.38754788,21.17043242,22.20313644,12082200,0,0,8452,0,2000-01-27,2000,01,27,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/28/2000,21.90808039,22.09249184,21.46549291,21.68678665,4444200,0,0,8453,0,2000-01-28,2000,01,28,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
1/31/2000,21.98184417,22.42443164,21.90807959,22.05560875,4838300,0,0,8454,0,2000-01-31,2000,01,31,92.2,81.49,102.24,86.8,148.73282003744472,117.19459756905974,177.53075696161306,35613,268044,19358
2/1/2000,22.09248772,22.16625229,21.53925347,21.61301804,4679500,0,0,8455,0,2000-02-01,2000,02,01,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/2/2000,21.61302373,21.68678832,20.87537787,20.94914246,5769100,0,0,8456,0,2000-02-02,2000,02,02,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/3/2000,20.98602194,21.35484482,20.32214075,20.65408134,9225700,0,0,8457,0,2000-02-03,2000,02,03,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/4/2000,21.1704375,21.1704375,20.4327916,20.72784996,7752200,0,0,8458,0,2000-02-04,2000,02,04,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/7/2000,20.80160846,21.02290217,20.06396277,20.61719704,9992900,0,0,8459,0,2000-02-07,2000,02,07,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/8/2000,21.24420029,22.20313989,20.94914196,21.42861176,12144800,0,0,8460,0,2000-02-08,2000,02,08,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/9/2000,21.64990668,21.64990668,20.87537851,21.17043686,5915400,0,0,8461,0,2000-02-09,2000,02,09,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/10/2000,20.94914246,21.39172997,20.7278487,20.94914246,5353400,0,0,8462,0,2000-02-10,2000,02,10,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/11/2000,20.69096161,20.91225531,20.54343247,20.61719704,3920500,0,0,8463,0,2000-02-11,2000,02,11,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/14/2000,20.83849465,20.83849465,19.65826133,19.99020195,4426400,0,0,8464,0,2000-02-14,2000,02,14,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/15/2000,19.91643143,20.13772511,19.73202002,19.91643143,4669200,0,0,8465,0,2000-02-15,2000,02,15,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/16/2000,19.91643841,20.32214364,19.62138007,19.69514465,3804900,0,0,8466,0,2000-02-16,2000,02,16,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/17/2000,19.80578459,20.10084283,19.69513774,19.91643143,4272000,0,0,8467,0,2000-02-17,2000,02,17,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/18/2000,19.80578408,19.87954863,19.06813849,19.17878532,5494900,0,0,8468,0,2000-02-18,2000,02,18,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
2/22/2000,19.03126155,19.5844959,18.99437926,19.06814384,4479500,0,0,8469,0,2000-02-22,2000,02,22,97.55,79.95,107.64,83.81,147.1342529350485,119.18223501141642,174.45592862232127,35980,272020,20214
